epoch,accuracy,loss,val_accuracy,val_loss
0,0.932592809,0.187584877,0.916666687,0.107841998
1,0.972481668,0.077373289,0.944444418,0.153599784
2,0.979298174,0.056521922,0.972222209,0.057532813
3,0.987124443,0.033566408,0.972222209,0.061394293
4,0.986619532,0.037038252,0.916666687,0.21696201
5,0.993183553,0.021662081,1,0.02540319
6,0.992426157,0.024881095,0.972222209,0.157913357
7,0.992426157,0.020249186,0.972222209,0.18918021
8,0.994193375,0.013913037,0.972222209,0.035151526
9,0.992426157,0.020961212,1,0.015107233
10,0.996717989,0.010841444,1,0.006787702
11,0.996465564,0.011424847,0.916666687,0.446466446
12,0.994950771,0.013639009,0.972222209,0.204122409
13,0.997727871,0.006302936,0.944444418,0.254868358
14,0.995960593,0.011113328,0.944444418,0.461507797
15,0.995203257,0.014365632,0.972222209,0.281339794
16,0.999747515,0.001880895,0.916666687,0.470857829
17,0.996213078,0.010443281,0.972222209,0.145094529
18,0.998737693,0.005062544,0.916666687,0.551690519
19,0.9972229,0.010666133,0.944444418,0.27191475
20,0.995960593,0.012372593,1,0.012290406
21,0.997475386,0.008356567,0.944444418,0.278016895
22,0.999495089,0.00126564,0.944444418,0.390604943
23,0.996970475,0.009780952,0.944444418,0.435514659
24,0.997727871,0.007232442,0.916666687,0.427124083
25,0.998485208,0.004575501,0.916666687,0.380311757
26,0.998485208,0.003327093,0.944444418,0.305788875
27,0.996465564,0.014659522,0.944444418,0.336472183
28,0.999495089,0.001259357,1,0.029015951
29,0.998232782,0.005542754,1,0.006329733
30,0.996717989,0.008464879,0.944444418,0.427710861
31,0.999242604,0.001697168,0.861111104,0.731189728
32,0.998990178,0.002497873,0.944444418,0.563944876
33,0.997475386,0.013190093,0.944444418,0.486591756
34,0.997980297,0.005589377,0.944444418,0.544560432
35,0.998990178,0.005465605,0.944444418,0.418433696
36,0.997980297,0.006729702,0.944444418,0.281164765
37,0.999495089,0.001304652,0.944444418,0.209268153
38,0.997475386,0.005776144,0.916666687,0.795031667
39,0.999495089,0.001545271,0.888888896,0.67681241
40,0.998232782,0.004731386,0.944444418,0.543235064
41,0.999242604,0.001955579,0.944444418,0.279152513
42,0.999242604,0.002177975,0.944444418,0.24979268
43,0.9972229,0.011432044,0.944444418,0.307526976
44,0.998232782,0.005689815,0.944444418,0.295549661
45,0.997980297,0.008041311,0.944444418,0.210344553
46,0.998990178,0.003635722,0.944444418,0.322551996
47,0.999495089,0.001106627,0.972222209,0.137658656
48,0.998485208,0.00312116,0.861111104,0.736933053
49,1,0.000141833,0.944444418,0.331799299
50,0.998485208,0.005251538,0.944444418,0.504602969
51,1,0.000134884,0.944444418,0.543316305
52,1,0.000254595,0.944444418,0.439192444
53,0.9972229,0.007326309,0.944444418,0.242789775
54,0.997980297,0.008072902,0.944444418,0.096741885
55,1,7.29E-05,0.944444418,0.217495218
56,0.998737693,0.006558503,0.972222209,0.108941041
57,0.997980297,0.007552295,1,0.007993971
58,0.999495089,0.002296481,0.972222209,0.036050349
59,0.998485208,0.00892827,0.944444418,0.166552365
60,0.998232782,0.006294895,0.972222209,0.115746535
61,0.998485208,0.005088577,0.972222209,0.150349319
62,0.998737693,0.002242541,0.944444418,0.145861596
63,0.998232782,0.003547403,0.944444418,0.241261482
64,0.999242604,0.001494086,0.944444418,0.447174191
65,0.999242604,0.001561505,0.972222209,0.109091364
66,0.999747515,0.000521889,1,0.002422354
67,0.998485208,0.004839686,1,0.000142666
68,0.997980297,0.005738217,1,0.001386867
69,0.998737693,0.004044175,1,0.006586166
70,0.999495089,0.001625515,0.944444418,0.150320575
71,0.996717989,0.011721242,0.972222209,0.157473743
72,0.998737693,0.002414331,0.972222209,0.177786082
73,0.999242604,0.002098509,0.944444418,0.117369145
74,0.998737693,0.004810718,0.944444418,0.328165889
75,1,0.000451872,0.972222209,0.150400177
76,0.999242604,0.004346751,0.972222209,0.148924544
77,0.999242604,0.002063952,0.944444418,0.334989339
78,0.999242604,0.002735923,0.944444418,0.320288062
79,0.999495089,0.001340073,0.972222209,0.21645461
80,0.999242604,0.001510078,0.972222209,0.031788513
81,0.997980297,0.004574771,0.972222209,0.172913894
82,0.999747515,0.001174065,0.972222209,0.14308852
83,1,0.000131657,1,0.002086889
84,0.999242604,0.003214022,0.972222209,0.127995998
85,1,1.71E-05,0.972222209,0.1633434
